0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,4,12,16,21,24,25,27,28,31,41,46,55,65,66,67,71,75,78,80
1,2,4,5,6,11,15,20,21,22,37,43,44,48,50,60,62,64,66,79
3,4,5,7,11,13,15,19,26,28,29,33,46,49,56,60,61,67,72,73
3,5,6,10,11,12,17,20,22,23,29,31,33,40,44,47,51,52,62,66
1,2,3,9,13,16,19,23,29,34,43,44,47,59,66,69,70,72,78,79
4,10,11,12,14,15,16,26,28,29,33,39,42,45,46,53,54,58,74,75
3,5,10,19,30,34,35,38,40,43,48,49,53,54,55,57,63,67,73,78
1,3,7,8,12,15,21,26,27,28,33,40,59,60,62,63,69,73,76,79
4,11,19,20,21,26,27,37,39,40,51,57,63,65,71,72,75,76,77,79
4,5,6,7,11,13,18,23,24,29,36,40,42,45,49,52,65,73,77,79
2,6,8,9,17,22,26,27,38,46,49,50,58,61,62,63,68,73,75,78
1,4,15,20,31,38,39,43,46,47,48,50,53,54,62,64,65,70,78,80
3,8,12,14,15,16,32,33,40,44,47,50,53,56,58,68,71,76,77,80
1,8,9,13,18,26,27,33,36,44,50,54,55,60,63,72,73,74,75,76
1,2,4,5,7,14,17,18,22,29,33,35,39,43,62,63,64,72,75,80
1,11,22,26,27,32,33,35,36,45,47,49,50,52,64,66,67,68,69,71
4,6,14,26,31,36,38,39,40,46,48,60,61,62,64,66,69,70,75,78
3,5,6,10,11,15,16,19,26,29,31,39,43,47,57,58,63,67,68,72
1,4,6,8,9,12,22,24,27,32,34,39,45,46,53,56,59,65,66,71
7,8,9,10,13,17,22,25,28,30,38,42,43,47,50,53,64,70,73,76
2,4,6,14,24,27,30,35,37,38,40,44,45,55,56,58,59,63,65,71
3,8,14,18,19,25,38,40,42,43,44,47,50,56,59,61,62,66,71,79
1,3,5,9,12,16,19,23,26,27,37,39,45,56,57,61,67,77,78,79
8,12,13,16,22,33,34,38,39,43,44,47,48,54,57,62,66,69,74,78
2,7,10,19,21,24,26,29,35,36,37,38,43,56,62,64,65,72,75,78
1,3,4,5,8,9,10,12,14,22,37,40,48,50,55,57,63,70,72,77
3,21,24,25,27,30,31,32,38,43,48,49,51,55,62,70,72,74,78,79
11,12,15,18,21,22,33,34,37,38,42,47,52,57,59,61,65,68,73,79
1,2,12,14,17,22,29,35,36,37,38,52,54,57,58,61,65,69,71,74
2,4,5,6,12,15,35,36,39,40,44,45,46,48,54,58,61,64,67,75
1,2,5,25,26,30,31,36,37,40,52,54,56,62,63,64,65,71,73,76
5,17,21,25,26,32,38,39,43,45,47,49,50,52,55,56,61,67,69,74
3,8,10,15,16,22,26,32,44,47,49,51,52,56,57,58,64,68,69,72
4,5,7,15,23,24,34,37,38,47,49,50,56,58,60,64,67,71,72,77
1,3,5,9,10,13,17,27,31,34,35,55,59,61,63,64,68,73,78,80
1,2,4,10,16,21,29,33,34,36,38,39,50,51,54,66,73,75,78,79
5,7,11,13,27,32,37,38,39,40,44,50,51,56,62,65,68,69,76,77
2,16,20,28,35,36,38,39,40,42,43,45,46,54,57,64,66,67,71,80
2,5,7,8,14,16,18,19,20,26,34,38,40,41,54,60,64,68,72,78
6,10,14,22,23,27,29,32,33,47,49,50,52,57,59,63,65,73,74,78
1,15,16,22,23,27,32,42,46,50,51,52,55,61,63,70,71,73,74,78
2,8,22,23,28,30,36,40,44,53,55,59,60,61,63,69,72,76,79,80
2,4,10,20,25,28,31,34,41,44,45,50,51,59,60,62,67,69,71,77
3,5,10,17,34,36,37,38,39,42,44,49,52,61,65,69,70,71,77,80
12,13,15,18,20,21,27,30,38,40,45,46,50,58,59,60,64,73,74,77
6,9,11,14,16,17,21,22,27,34,40,48,52,53,65,70,74,78,79,80
2,5,7,11,20,23,26,29,33,38,40,43,44,49,52,59,65,68,69,71
10,12,13,16,19,23,31,32,39,42,43,49,55,57,59,60,61,65,75,78
2,7,17,18,19,26,35,36,47,49,50,54,57,60,62,67,71,73,78,80
7,8,19,24,26,27,29,31,32,35,39,49,56,59,61,62,63,65,71,74
1,6,10,15,26,27,28,32,37,40,41,44,46,49,50,59,62,69,70,73
6,12,15,23,27,30,37,38,40,43,47,56,62,63,66,69,71,72,74,80
8,9,10,11,14,16,17,21,29,31,33,43,46,47,52,57,65,70,77,78
1,3,9,10,11,15,18,27,29,30,37,49,50,55,64,66,69,75,76,79
2,3,11,13,14,17,23,26,29,31,46,47,48,55,62,64,65,74,76,79
2,4,8,11,22,29,30,37,39,44,45,49,51,53,59,61,64,71,73,74
2,5,7,13,14,22,28,30,32,39,42,46,47,52,55,62,64,65,66,79
3,5,6,8,11,21,25,28,30,31,32,34,45,50,53,55,60,65,73,77
2,3,4,9,11,15,18,19,23,35,39,40,45,57,64,65,66,67,68,75
1,7,12,13,15,16,18,20,27,34,36,47,50,65,66,67,72,73,75,80
4,5,12,14,20,24,25,27,28,40,48,50,55,57,61,63,69,70,71,74
9,11,13,16,20,23,29,30,36,39,43,45,49,56,58,60,61,66,69,76
7,9,11,13,15,18,20,21,23,26,30,36,37,40,53,58,62,68,69,78
1,5,11,13,25,26,42,44,48,54,56,57,59,61,64,70,74,77,78,79
10,15,18,20,24,27,32,34,38,39,42,43,45,51,60,64,71,72,75,80
1,3,9,10,17,20,30,31,32,46,51,53,58,61,62,69,75,76,78,80
1,4,8,12,16,17,18,19,20,23,24,33,39,44,48,51,53,60,67,73
2,9,10,21,23,26,31,36,37,45,49,53,54,61,62,64,71,74,76,79
1,2,3,7,11,14,18,29,32,37,40,41,45,48,49,56,58,65,70,77
4,5,6,7,8,9,12,17,19,27,29,33,38,42,46,47,51,60,61,67
3,4,5,13,16,20,21,25,30,38,41,52,54,57,62,69,72,74,78,80
3,10,11,15,24,26,28,30,39,40,43,47,49,51,52,54,73,75,79,80
21,23,24,29,34,37,42,44,47,54,55,58,63,65,71,72,74,75,77,79
2,12,34,35,36,40,43,44,45,49,50,53,54,56,61,62,67,68,75,78
1,2,12,13,15,19,21,30,35,36,43,47,48,49,66,67,72,78,79,80
2,3,4,6,9,11,13,15,23,34,39,46,54,56,57,58,63,66,71,78
4,7,11,15,20,23,29,31,35,37,39,44,45,54,60,65,66,67,69,77
1,3,9,19,22,24,32,39,40,46,51,52,53,55,57,58,61,66,69,80
3,5,9,19,20,22,27,32,34,35,37,39,49,55,59,63,65,67,70,71
1,2,7,8,12,15,25,31,41,42,48,51,53,55,56,58,60,67,71,72
2,3,5,8,11,14,25,27,34,36,40,45,46,51,56,65,70,72,79,80
2,6,7,9,17,18,19,23,26,31,32,35,38,46,49,58,60,62,71,75
6,12,20,22,24,27,32,34,40,52,57,59,60,62,63,66,70,71,73,76
1,8,12,17,18,19,23,26,38,39,43,51,53,54,55,65,66,68,69,76
2,5,13,33,37,38,41,44,48,51,52,55,58,59,65,66,70,74,75,80
3,5,6,11,18,29,32,34,36,37,42,44,50,56,58,60,64,67,69,70
1,4,7,8,12,15,20,24,28,34,36,37,45,50,51,53,60,61,64,79
2,15,16,18,20,24,32,34,35,37,39,40,42,44,55,57,60,65,74,80
2,4,5,11,13,17,19,20,23,27,34,38,40,46,49,54,56,59,61,70
1,3,9,11,12,18,25,27,28,30,31,41,48,49,50,56,64,67,69,78
7,11,19,20,34,37,38,39,41,48,49,54,55,56,66,67,68,74,76,80
1,2,3,5,14,20,26,29,33,34,44,52,56,67,68,70,71,77,79,80
1,7,12,18,20,21,24,29,33,38,51,54,56,58,61,67,70,77,78,80
13,15,17,20,26,30,32,33,41,45,46,50,51,52,70,71,73,74,75,77
1,2,8,11,12,14,16,20,26,27,33,40,54,61,62,65,71,74,76,78
10,12,16,17,18,20,25,39,42,44,45,46,49,51,52,62,64,67,72,73
8,15,21,22,26,27,39,42,47,49,52,54,55,59,63,71,75,76,77,78
4,7,11,12,18,19,24,30,32,34,35,52,58,63,66,69,71,72,73,78
1,3,5,8,9,13,15,19,22,32,35,36,37,39,42,46,48,50,62,65
2,4,9,11,13,14,16,23,27,29,31,33,37,38,40,41,46,51,52,80
1,10,13,17,21,24,29,30,31,41,43,44,47,49,56,58,62,68,74,77
2,4,6,8,14,16,20,23,25,26,30,33,37,43,45,50,56,57,62,63
5,6,12,26,29,31,36,39,44,45,47,51,54,56,62,66,67,68,72,78
1,3,4,5,11,13,17,19,22,25,36,37,41,43,48,58,59,61,78,79
1,4,6,18,21,26,29,31,33,39,44,51,52,55,62,65,68,72,73,78
4,7,15,17,22,24,30,35,38,43,48,49,50,54,56,60,64,68,72,77
7,8,16,19,21,28,34,35,39,41,43,55,61,68,69,72,73,74,75,77
1,4,5,10,14,15,17,23,36,41,46,52,53,60,63,64,65,72,74,76
9,10,12,13,26,29,31,32,34,40,42,50,52,55,61,66,68,74,78,80
2,8,12,18,19,25,31,36,40,41,43,44,50,52,61,63,69,74,77,78
4,5,8,9,15,23,25,33,34,38,39,42,44,50,59,60,63,69,76,80
1,2,3,7,10,12,16,20,26,37,39,42,45,51,54,57,58,59,64,77
2,6,8,15,30,33,36,39,48,50,54,55,57,58,61,63,70,71,78,79
3,7,14,17,31,39,41,45,47,50,51,53,59,61,67,73,74,75,78,80
12,16,17,19,22,25,27,28,30,34,45,55,57,59,60,63,64,70,72,75
2,4,5,9,11,20,26,38,41,45,52,53,56,57,62,63,70,74,77,80
10,12,14,18,27,28,31,32,34,35,40,41,45,50,58,62,63,68,76,79
5,6,7,20,31,35,37,39,42,47,48,51,60,62,63,67,75,76,77,79
2,3,6,7,11,17,18,30,37,42,46,47,52,59,62,63,64,69,71,78
5,8,17,26,27,35,37,51,52,54,55,57,59,65,70,73,75,77,79,80
4,5,6,12,13,14,18,25,37,40,44,46,50,51,56,59,60,62,70,77
3,5,11,19,23,24,29,32,33,34,40,42,49,57,61,62,64,66,74,78
2,3,14,21,28,30,33,35,37,43,44,45,55,56,57,58,64,66,76,79
2,4,9,11,12,14,17,20,26,40,50,53,54,56,65,68,70,77,79,80
2,13,15,16,18,19,31,32,37,42,46,51,54,58,60,68,69,72,74,78
2,3,8,11,15,23,26,27,30,32,37,38,40,42,46,57,58,60,62,76
11,12,13,15,20,21,26,31,32,34,40,44,46,51,53,68,75,78,79,80
4,6,11,14,15,20,23,24,29,38,39,40,41,56,57,58,61,65,67,71
1,6,8,16,25,27,33,36,37,46,56,58,61,62,66,68,72,73,78,80
2,5,6,8,9,18,20,22,28,34,35,38,41,49,61,64,66,69,71,75
2,3,6,12,13,17,24,25,26,29,33,36,37,46,48,52,55,59,64,79
6,7,9,10,16,20,24,26,27,33,37,42,45,50,56,59,66,69,70,78
5,15,19,21,24,27,29,32,36,40,43,47,53,54,57,58,62,68,76,79
2,4,7,14,18,19,23,25,27,39,41,46,47,59,61,68,72,73,75,77
9,14,18,19,23,26,32,34,35,36,46,48,49,53,63,65,71,72,74,80
